/out X,/out Y,/in X,/in Y
0,0.9992351687204649,0,1
1e-09,0.9992352569897939,1e-09,1
2.282917750484578e-09,0.9992352581984283,2.282917750484578e-09,1
4.006958492953848e-09,0.999235221944751,4.006958492953848e-09,1
7.455039977892388e-09,0.9992351538552965,7.455039977892388e-09,1
8.727519988946193e-09,0.9992351411519806,8.727519988946193e-09,1
1e-08,0.9992351365860435,1e-08,1
1.000195243896699e-08,0.9998051474242414,1.000195243896699e-08,1.019524389669868
1.000338299279196e-08,1.000351071693544,1.000338299279196e-08,1.033829927919595
1.000565314462071e-08,1.001494438549122,1.000565314462071e-08,1.056531446207051
1.000684172164695e-08,1.002216615675554,1.000684172164695e-08,1.068417216469449
1.000798682503829e-08,1.002981214968684,1.000798682503829e-08,1.079868250382922
1.000899341251915e-08,1.0037022390035,1.000899341251915e-08,1.089934125191451
1.001e-08,1.004463715456653,1.001e-08,1.099999999999998
1.001011863239732e-08,1.00454231959697,1.001011863239732e-08,1.1
1.001024632102178e-08,1.004628710805578,1.001024632102178e-08,1.1
1.001042819515995e-08,1.004748923104746,1.001042819515995e-08,1.1
1.001071029207931e-08,1.004927988155567,1.001071029207931e-08,1.1
1.001115869622782e-08,1.0051969799222,1.001115869622782e-08,1.1
1.001167087509714e-08,1.005484190131565,1.001167087509714e-08,1.1
1.001225008250807e-08,1.005786857921714,1.001225008250807e-08,1.1
1.00129242805809e-08,1.006113630703771,1.00129242805809e-08,1.1
1.001370530576616e-08,1.006462718392389,1.001370530576616e-08,1.1
1.001459772174321e-08,1.006828849167035,1.001459772174321e-08,1.1
1.001559514881448e-08,1.007203559609023,1.001559514881448e-08,1.1
1.001669502071582e-08,1.007581764152362,1.001669502071582e-08,1.1
1.001790751433126e-08,1.007963487173892,1.001790751433126e-08,1.1
1.001925501183415e-08,1.008351747296189,1.001925501183415e-08,1.1
1.002077130161206e-08,1.00875090778,1.002077130161206e-08,1.1
1.002250244006115e-08,1.009165812976915,1.002250244006115e-08,1.1
1.002451056526871e-08,1.009601579956412,1.002451056526871e-08,1.1
1.002688235932702e-08,1.01006386191043,1.002688235932702e-08,1.1
1.002974475240828e-08,1.010559320160792,1.002974475240828e-08,1.1
1.003302075418121e-08,1.01105720427529,1.003302075418121e-08,1.1
1.003674116679168e-08,1.011548917990509,1.003674116679168e-08,1.1
1.004100397202151e-08,1.012033009119424,1.004100397202151e-08,1.1
1.004585165410995e-08,1.012498650920737,1.004585165410995e-08,1.1
1.005130829167705e-08,1.012933543286683,1.005130829167705e-08,1.1
