/out X,/out Y,/in X,/in Y
0,0.9991934532399699,0,1
1e-09,0.9991935395563459,1e-09,1
2.241035357058577e-09,0.9991935360758459,2.241035357058577e-09,1
3.809947819158571e-09,0.9991934997016864,3.809947819158571e-09,1
6.94777274335856e-09,0.9991934368831212,6.94777274335856e-09,1
8.47388637167928e-09,0.9991934239264368,8.47388637167928e-09,1
1e-08,0.9991934215385524,1e-08,1
1.000195243896699e-08,1.002701290465069,1.000195243896699e-08,1.019524389669868
1.000338299279196e-08,1.005381058779541,1.000338299279196e-08,1.033829927919595
1.000415008635039e-08,1.006838663477875,1.000415008635039e-08,1.041500863503911
1.000494049250112e-08,1.008339962475356,1.000494049250112e-08,1.049404925011246
1.000592457969456e-08,1.010201665063769,1.000592457969456e-08,1.059245796945615
1.000789275408144e-08,1.013898312118879,1.000789275408144e-08,1.078927540814354
1.001e-08,1.017811739360916,1.001e-08,1.099999999999998
1.001017600146307e-08,1.017874962990133,1.001017600146307e-08,1.1
1.001035931109156e-08,1.017937240335066,1.001035931109156e-08,1.1
1.001055831115377e-08,1.017983091998369,1.001055831115377e-08,1.1
1.0010787790939e-08,1.018010675514271,1.0010787790939e-08,1.1
1.001097077206458e-08,1.018019471667658,1.001097077206458e-08,1.1
1.001119289158001e-08,1.018021620735256,1.001119289158001e-08,1.1
1.0011501195245e-08,1.01801735588352,1.0011501195245e-08,1.1
1.001199339894632e-08,1.01800427133378,1.001199339894632e-08,1.1
1.001286603331986e-08,1.017976983306956,1.001286603331986e-08,1.1
1.001444611414359e-08,1.017927019993003,1.001444611414359e-08,1.1
1.001741351504678e-08,1.017834794670223,1.001741351504678e-08,1.1
1.002334831685317e-08,1.017652747736787,1.002334831685317e-08,1.1
1.003521792046596e-08,1.017295613221664,1.003521792046596e-08,1.1
1.005895712769153e-08,1.016608508739486,1.005895712769153e-08,1.1
1.010643554214268e-08,1.01533753720105,1.010643554214268e-08,1.1
1.020139237104496e-08,1.013167505665974,1.020139237104496e-08,1.1
1.0308379216716e-08,1.011242475105109,1.0308379216716e-08,1.1
1.042087170603303e-08,1.009722991986876,1.042087170603303e-08,1.1
1.054366207107926e-08,1.008555134868014,1.054366207107926e-08,1.1
1.068003381794288e-08,1.007750658228206,1.068003381794288e-08,1.1
1.083002540031155e-08,1.007354024495559,1.083002540031155e-08,1.1
1.099881641895387e-08,1.007404174195361,1.099881641895387e-08,1.1
1.119333704156593e-08,1.007990871958182,1.119333704156593e-08,1.1
1.142285483502271e-08,1.00927384929185,1.142285483502271e-08,1.1
1.165498973040586e-08,1.011108979711535,1.165498973040586e-08,1.1
1.187688668947068e-08,1.013285836089341,1.187688668947068e-08,1.1
1.210085501580138e-08,1.015833521202834,1.210085501580138e-08,1.1
1.233354021298089e-08,1.018789981643492,1.233354021298089e-08,1.1
1.258128353499979e-08,1.022218594486854,1.258128353499979e-08,1.1
1.285028205112932e-08,1.026194067701445,1.285028205112932e-08,1.1
1.314542761218497e-08,1.03076848114401,1.314542761218497e-08,1.1
1.346309372668122e-08,1.035836052348089,1.346309372668122e-08,1.1
1.379322284116356e-08,1.041150759406951,1.379322284116356e-08,1.1
1.413491864018425e-08,1.046593318190624,1.413491864018425e-08,1.1
1.448835353018876e-08,1.052055408559884,1.448835353018876e-08,1.1
1.485462331504782e-08,1.057441365911518,1.485462331504782e-08,1.1
1.523651728776618e-08,1.062679377927871,1.523651728776618e-08,1.1
1.563859364117512e-08,1.067716608115956,1.563859364117512e-08,1.1
1.606831849578896e-08,1.072522462169899,1.606831849578896e-08,1.1
1.653831515255352e-08,1.077091764193112,1.653831515255352e-08,1.1
1.707199692077881e-08,1.081454601648882,1.707199692077881e-08,1.1
1.772351892478537e-08,1.085724050539869,1.772351892478537e-08,1.1
1.847715921085322e-08,1.089462856681481,1.847715921085322e-08,1.1
1.918872648957117e-08,1.092057715681015,1.918872648957117e-08,1.1
1.989761203722171e-08,1.093961665634041,1.989761203722171e-08,1.1
2.063618287254253e-08,1.09541650280003,2.063618287254253e-08,1.1
2.139787238396007e-08,1.096509300515346,2.139787238396007e-08,1.1
2.220983643870696e-08,1.09735077302058,2.220983643870696e-08,1.1
2.310703886764767e-08,1.09800909361748,2.310703886764767e-08,1.1
2.412558875893054e-08,1.098519279835088,2.412558875893054e-08,1.1
2.530423497116541e-08,1.098899530313257,2.530423497116541e-08,1.1
2.66811834053075e-08,1.099161011806647,2.66811834053075e-08,1.1
2.830881202752676e-08,1.09931775586405,2.830881202752676e-08,1.1
3.025596738779258e-08,1.0993874537569,3.025596738779258e-08,1.1
3.262883312463084e-08,1.099392204008163,3.262883312463084e-08,1.1
