SimTime,wave_gen_tb.amp[5:0],wave_gen_tb.clk,wave_gen_tb.dac_value[5:0],wave_gen_tb.half_period[5:0],wave_gen_tb.offset[5:0],wave_gen_tb.rst_n,wave_gen_tb.square,wave_gen_tb.step[4:0]
0,3,0,,1,1,0,0,31
2765,3,0,,1,1,0,0,31
3721,3,0,,1,1,0,0,31
3798,3,0,1,1,1,0,0,31
10000,3,1,1,1,1,0,0,31
11000,30,1,1,2,15,0,1,31
13018,30,1,9,2,15,0,1,31
13028,30,1,13,2,15,0,1,31
13034,30,1,15,2,15,0,1,31
20000,30,0,15,2,15,0,1,31
26000,30,0,15,2,15,1,1,31
30000,30,1,15,2,15,1,1,31
40000,30,0,15,2,15,1,1,31
50000,30,1,15,2,15,1,1,31
60000,30,0,15,2,15,1,1,31
70000,30,1,15,2,15,1,1,31
80000,30,0,15,2,15,1,1,31
90000,30,1,15,2,15,1,1,31
93034,30,1,47,2,15,1,1,31
93276,30,1,45,2,15,1,1,31
100000,30,0,45,2,15,1,1,31
110000,30,1,45,2,15,1,1,31
120000,30,0,45,2,15,1,1,31
130000,30,1,45,2,15,1,1,31
133034,30,1,47,2,15,1,1,31
133276,30,1,15,2,15,1,1,31
140000,30,0,15,2,15,1,1,31
150000,30,1,15,2,15,1,1,31
160000,30,0,15,2,15,1,1,31
170000,30,1,15,2,15,1,1,31
173034,30,1,47,2,15,1,1,31
173276,30,1,45,2,15,1,1,31
180000,30,0,45,2,15,1,1,31
190000,30,1,45,2,15,1,1,31
200000,30,0,45,2,15,1,1,31
210000,30,1,45,2,15,1,1,31
213034,30,1,47,2,15,1,1,31
213276,30,1,15,2,15,1,1,31
220000,30,0,15,2,15,1,1,31
230000,30,1,15,2,15,1,1,31
240000,30,0,15,2,15,1,1,31
250000,30,1,15,2,15,1,1,31
253034,30,1,47,2,15,1,1,31
253276,30,1,45,2,15,1,1,31
260000,30,0,45,2,15,1,1,31
270000,30,1,45,2,15,1,1,31
280000,30,0,45,2,15,1,1,31
290000,30,1,45,2,15,1,1,31
293034,30,1,47,2,15,1,1,31
293276,30,1,15,2,15,1,1,31
300000,30,0,15,2,15,1,1,31
310000,30,1,15,2,15,1,1,31
320000,30,0,15,2,15,1,1,31
330000,30,1,15,2,15,1,1,31
333034,30,1,47,2,15,1,1,31
333276,30,1,45,2,15,1,1,31
340000,30,0,45,2,15,1,1,31
350000,30,1,45,2,15,1,1,31
360000,30,0,45,2,15,1,1,31
370000,30,1,45,2,15,1,1,31
373034,30,1,47,2,15,1,1,31
373276,30,1,15,2,15,1,1,31
380000,30,0,15,2,15,1,1,31
390000,30,1,15,2,15,1,1,31
400000,30,0,15,2,15,1,1,31
410000,30,1,15,2,15,1,1,31
413034,30,1,47,2,15,1,1,31
413276,30,1,45,2,15,1,1,31
420000,30,0,45,2,15,1,1,31
426000,30,0,45,2,40,0,1,31
429721,30,0,40,2,40,0,1,31
430000,30,1,40,2,40,0,1,31
440000,30,0,40,2,40,0,1,31
441000,30,0,40,2,40,1,1,31
450000,30,1,40,2,40,1,1,31
460000,30,0,40,2,40,1,1,31
470000,30,1,40,2,40,1,1,31
480000,30,0,40,2,40,1,1,31
490000,30,1,40,2,40,1,1,31
500000,30,0,40,2,40,1,1,31
510000,30,1,40,2,40,1,1,31
513034,30,1,63,2,40,1,1,31
520000,30,0,63,2,40,1,1,31
530000,30,1,63,2,40,1,1,31
540000,30,0,63,2,40,1,1,31
550000,30,1,63,2,40,1,1,31
553276,30,1,40,2,40,1,1,31
560000,30,0,40,2,40,1,1,31
570000,30,1,40,2,40,1,1,31
580000,30,0,40,2,40,1,1,31
590000,30,1,40,2,40,1,1,31
593034,30,1,63,2,40,1,1,31
600000,30,0,63,2,40,1,1,31
610000,30,1,63,2,40,1,1,31
620000,30,0,63,2,40,1,1,31
630000,30,1,63,2,40,1,1,31
633276,30,1,40,2,40,1,1,31
640000,30,0,40,2,40,1,1,31
650000,30,1,40,2,40,1,1,31
660000,30,0,40,2,40,1,1,31
670000,30,1,40,2,40,1,1,31
673034,30,1,63,2,40,1,1,31
680000,30,0,63,2,40,1,1,31
690000,30,1,63,2,40,1,1,31
700000,30,0,63,2,40,1,1,31
710000,30,1,63,2,40,1,1,31
713276,30,1,40,2,40,1,1,31
720000,30,0,40,2,40,1,1,31
730000,30,1,40,2,40,1,1,31
740000,30,0,40,2,40,1,1,31
750000,30,1,40,2,40,1,1,31
753034,30,1,63,2,40,1,1,31
760000,30,0,63,2,40,1,1,31
770000,30,1,63,2,40,1,1,31
780000,30,0,63,2,40,1,1,31
790000,30,1,63,2,40,1,1,31
793276,30,1,40,2,40,1,1,31
800000,30,0,40,2,40,1,1,31
810000,30,1,40,2,40,1,1,31
820000,30,0,40,2,40,1,1,31
830000,30,1,40,2,40,1,1,31
833034,30,1,63,2,40,1,1,31
840000,30,0,63,2,40,1,1,31
841000,30,0,63,10,0,0,0,31
844721,30,0,32,10,0,0,0,31
844798,30,0,0,10,0,0,0,31
850000,30,1,0,10,0,0,0,31
860000,30,0,0,10,0,0,0,31
870000,30,1,0,10,0,0,0,31
880000,30,0,0,10,0,0,0,31
881000,30,0,0,10,0,1,0,31
890000,30,1,0,10,0,1,0,31
900000,30,0,0,10,0,1,0,31
910000,30,1,0,10,0,1,0,31
920000,30,0,0,10,0,1,0,31
930000,30,1,0,10,0,1,0,31
940000,30,0,0,10,0,1,0,31
950000,30,1,0,10,0,1,0,31
953034,30,1,1,10,0,1,0,31
960000,30,0,1,10,0,1,0,31
970000,30,1,1,10,0,1,0,31
973034,30,1,3,10,0,1,0,31
973276,30,1,2,10,0,1,0,31
980000,30,0,2,10,0,1,0,31
990000,30,1,2,10,0,1,0,31
993034,30,1,3,10,0,1,0,31
1000000,30,0,3,10,0,1,0,31
1010000,30,1,3,10,0,1,0,31
1013034,30,1,7,10,0,1,0,31
1013276,30,1,4,10,0,1,0,31
1020000,30,0,4,10,0,1,0,31
1030000,30,1,4,10,0,1,0,31
1033034,30,1,5,10,0,1,0,31
1040000,30,0,5,10,0,1,0,31
1050000,30,1,5,10,0,1,0,31
1053034,30,1,7,10,0,1,0,31
1053276,30,1,6,10,0,1,0,31
1060000,30,0,6,10,0,1,0,31
1070000,30,1,6,10,0,1,0,31
1073034,30,1,7,10,0,1,0,31
1080000,30,0,7,10,0,1,0,31
1090000,30,1,7,10,0,1,0,31
1093034,30,1,15,10,0,1,0,31
1093276,30,1,8,10,0,1,0,31
1100000,30,0,8,10,0,1,0,31
1110000,30,1,8,10,0,1,0,31
1113034,30,1,9,10,0,1,0,31
1120000,30,0,9,10,0,1,0,31
1130000,30,1,9,10,0,1,0,31
1133276,30,1,8,10,0,1,0,31
1140000,30,0,8,10,0,1,0,31
1150000,30,1,8,10,0,1,0,31
1153034,30,1,15,10,0,1,0,31
1153276,30,1,7,10,0,1,0,31
1160000,30,0,7,10,0,1,0,31
1170000,30,1,7,10,0,1,0,31
1173276,30,1,6,10,0,1,0,31
1180000,30,0,6,10,0,1,0,31
1190000,30,1,6,10,0,1,0,31
1193034,30,1,7,10,0,1,0,31
1193276,30,1,5,10,0,1,0,31
1200000,30,0,5,10,0,1,0,31
1210000,30,1,5,10,0,1,0,31
1213276,30,1,4,10,0,1,0,31
1220000,30,0,4,10,0,1,0,31
1230000,30,1,4,10,0,1,0,31
1233034,30,1,7,10,0,1,0,31
1233276,30,1,3,10,0,1,0,31
1240000,30,0,3,10,0,1,0,31
1250000,30,1,3,10,0,1,0,31
1253276,30,1,2,10,0,1,0,31
1260000,30,0,2,10,0,1,0,31
1270000,30,1,2,10,0,1,0,31
1273034,30,1,3,10,0,1,0,31
1273276,30,1,1,10,0,1,0,31
1280000,30,0,1,10,0,1,0,31
1290000,30,1,1,10,0,1,0,31
1293276,30,1,0,10,0,1,0,31
1300000,30,0,0,10,0,1,0,31
1310000,30,1,0,10,0,1,0,31
1320000,30,0,0,10,0,1,0,31
1330000,30,1,0,10,0,1,0,31
1340000,30,0,0,10,0,1,0,31
1350000,30,1,0,10,0,1,0,31
1353034,30,1,1,10,0,1,0,31
1360000,30,0,1,10,0,1,0,31
1370000,30,1,1,10,0,1,0,31
1373034,30,1,3,10,0,1,0,31
1373276,30,1,2,10,0,1,0,31
1380000,30,0,2,10,0,1,0,31
1390000,30,1,2,10,0,1,0,31
1393034,30,1,3,10,0,1,0,31
1400000,30,0,3,10,0,1,0,31
1410000,30,1,3,10,0,1,0,31
1413034,30,1,7,10,0,1,0,31
1413276,30,1,4,10,0,1,0,31
1420000,30,0,4,10,0,1,0,31
1430000,30,1,4,10,0,1,0,31
1433034,30,1,5,10,0,1,0,31
1440000,30,0,5,10,0,1,0,31
1450000,30,1,5,10,0,1,0,31
1453034,30,1,7,10,0,1,0,31
1453276,30,1,6,10,0,1,0,31
1460000,30,0,6,10,0,1,0,31
1470000,30,1,6,10,0,1,0,31
1473034,30,1,7,10,0,1,0,31
1480000,30,0,7,10,0,1,0,31
1490000,30,1,7,10,0,1,0,31
1493034,30,1,15,10,0,1,0,31
1493276,30,1,8,10,0,1,0,31
1500000,30,0,8,10,0,1,0,31
1510000,30,1,8,10,0,1,0,31
1513034,30,1,9,10,0,1,0,31
1520000,30,0,9,10,0,1,0,31
1530000,30,1,9,10,0,1,0,31
1533276,30,1,8,10,0,1,0,31
1540000,30,0,8,10,0,1,0,31
1550000,30,1,8,10,0,1,0,31
1553034,30,1,15,10,0,1,0,31
1553276,30,1,7,10,0,1,0,31
1560000,30,0,7,10,0,1,0,31
1570000,30,1,7,10,0,1,0,31
1573276,30,1,6,10,0,1,0,31
1580000,30,0,6,10,0,1,0,31
1590000,30,1,6,10,0,1,0,31
1593034,30,1,7,10,0,1,0,31
1593276,30,1,5,10,0,1,0,31
1600000,30,0,5,10,0,1,0,31
1610000,30,1,5,10,0,1,0,31
1613276,30,1,4,10,0,1,0,31
1620000,30,0,4,10,0,1,0,31
1630000,30,1,4,10,0,1,0,31
1633034,30,1,7,10,0,1,0,31
1633276,30,1,3,10,0,1,0,31
1640000,30,0,3,10,0,1,0,31
1650000,30,1,3,10,0,1,0,31
1653276,30,1,2,10,0,1,0,31
1660000,30,0,2,10,0,1,0,31
1670000,30,1,2,10,0,1,0,31
1673034,30,1,3,10,0,1,0,31
1673276,30,1,1,10,0,1,0,31
1680000,30,0,1,10,0,1,0,31
1681000,30,0,1,10,60,0,0,31
1683765,30,0,61,10,60,0,0,31
1684721,30,0,60,10,60,0,0,31
1690000,30,1,60,10,60,0,0,31
1700000,30,0,60,10,60,0,0,31
1710000,30,1,60,10,60,0,0,31
1720000,30,0,60,10,60,0,0,31
1721000,30,0,60,10,60,1,0,31
1730000,30,1,60,10,60,1,0,31
1740000,30,0,60,10,60,1,0,31
1750000,30,1,60,10,60,1,0,31
1760000,30,0,60,10,60,1,0,31
1770000,30,1,60,10,60,1,0,31
1780000,30,0,60,10,60,1,0,31
1790000,30,1,60,10,60,1,0,31
1793034,30,1,61,10,60,1,0,31
1800000,30,0,61,10,60,1,0,31
1810000,30,1,61,10,60,1,0,31
1813034,30,1,63,10,60,1,0,31
1813276,30,1,62,10,60,1,0,31
1820000,30,0,62,10,60,1,0,31
1830000,30,1,62,10,60,1,0,31
1833034,30,1,63,10,60,1,0,31
1840000,30,0,63,10,60,1,0,31
1850000,30,1,63,10,60,1,0,31
1860000,30,0,63,10,60,1,0,31
1870000,30,1,63,10,60,1,0,31
1880000,30,0,63,10,60,1,0,31
1890000,30,1,63,10,60,1,0,31
1900000,30,0,63,10,60,1,0,31
1910000,30,1,63,10,60,1,0,31
1920000,30,0,63,10,60,1,0,31
1930000,30,1,63,10,60,1,0,31
1940000,30,0,63,10,60,1,0,31
1950000,30,1,63,10,60,1,0,31
1960000,30,0,63,10,60,1,0,31
1970000,30,1,63,10,60,1,0,31
1980000,30,0,63,10,60,1,0,31
1990000,30,1,63,10,60,1,0,31
2000000,30,0,63,10,60,1,0,31
2010000,30,1,63,10,60,1,0,31
2020000,30,0,63,10,60,1,0,31
2030000,30,1,63,10,60,1,0,31
2040000,30,0,63,10,60,1,0,31
2050000,30,1,63,10,60,1,0,31
2060000,30,0,63,10,60,1,0,31
2070000,30,1,63,10,60,1,0,31
2080000,30,0,63,10,60,1,0,31
2090000,30,1,63,10,60,1,0,31
2093276,30,1,62,10,60,1,0,31
2100000,30,0,62,10,60,1,0,31
2110000,30,1,62,10,60,1,0,31
2113034,30,1,63,10,60,1,0,31
2113276,30,1,61,10,60,1,0,31
2120000,30,0,61,10,60,1,0,31
2130000,30,1,61,10,60,1,0,31
2133276,30,1,60,10,60,1,0,31
2140000,30,0,60,10,60,1,0,31
2150000,30,1,60,10,60,1,0,31
2160000,30,0,60,10,60,1,0,31
2170000,30,1,60,10,60,1,0,31
2180000,30,0,60,10,60,1,0,31
2190000,30,1,60,10,60,1,0,31
2193034,30,1,61,10,60,1,0,31
2200000,30,0,61,10,60,1,0,31
2210000,30,1,61,10,60,1,0,31
2213034,30,1,63,10,60,1,0,31
2213276,30,1,62,10,60,1,0,31
2220000,30,0,62,10,60,1,0,31
2230000,30,1,62,10,60,1,0,31
2233034,30,1,63,10,60,1,0,31
2240000,30,0,63,10,60,1,0,31
2250000,30,1,63,10,60,1,0,31
2260000,30,0,63,10,60,1,0,31
2270000,30,1,63,10,60,1,0,31
2280000,30,0,63,10,60,1,0,31
2290000,30,1,63,10,60,1,0,31
2300000,30,0,63,10,60,1,0,31
2310000,30,1,63,10,60,1,0,31
2320000,30,0,63,10,60,1,0,31
2330000,30,1,63,10,60,1,0,31
2340000,30,0,63,10,60,1,0,31
2350000,30,1,63,10,60,1,0,31
2360000,30,0,63,10,60,1,0,31
2370000,30,1,63,10,60,1,0,31
2380000,30,0,63,10,60,1,0,31
2390000,30,1,63,10,60,1,0,31
2400000,30,0,63,10,60,1,0,31
2410000,30,1,63,10,60,1,0,31
2420000,30,0,63,10,60,1,0,31
2430000,30,1,63,10,60,1,0,31
2440000,30,0,63,10,60,1,0,31
2450000,30,1,63,10,60,1,0,31
2460000,30,0,63,10,60,1,0,31
2470000,30,1,63,10,60,1,0,31
2480000,30,0,63,10,60,1,0,31
2490000,30,1,63,10,60,1,0,31
2493276,30,1,62,10,60,1,0,31
2500000,30,0,62,10,60,1,0,31
2510000,30,1,62,10,60,1,0,31
2513034,30,1,63,10,60,1,0,31
2513276,30,1,61,10,60,1,0,31
2520000,30,0,61,10,60,1,0,31
2521000,30,0,61,12,0,0,0,7
2524721,30,0,32,12,0,0,0,7
2524798,30,0,0,12,0,0,0,7
2530000,30,1,0,12,0,0,0,7
2540000,30,0,0,12,0,0,0,7
2550000,30,1,0,12,0,0,0,7
2560000,30,0,0,12,0,0,0,7
2561000,30,0,0,12,0,1,0,7
2570000,30,1,0,12,0,1,0,7
2580000,30,0,0,12,0,1,0,7
2590000,30,1,0,12,0,1,0,7
2600000,30,0,0,12,0,1,0,7
2610000,30,1,0,12,0,1,0,7
2620000,30,0,0,12,0,1,0,7
2630000,30,1,0,12,0,1,0,7
2640000,30,0,0,12,0,1,0,7
2650000,30,1,0,12,0,1,0,7
2660000,30,0,0,12,0,1,0,7
2670000,30,1,0,12,0,1,0,7
2680000,30,0,0,12,0,1,0,7
2690000,30,1,0,12,0,1,0,7
2693034,30,1,1,12,0,1,0,7
2700000,30,0,1,12,0,1,0,7
2710000,30,1,1,12,0,1,0,7
2720000,30,0,1,12,0,1,0,7
2730000,30,1,1,12,0,1,0,7
2740000,30,0,1,12,0,1,0,7
2750000,30,1,1,12,0,1,0,7
2760000,30,0,1,12,0,1,0,7
2770000,30,1,1,12,0,1,0,7
2780000,30,0,1,12,0,1,0,7
2790000,30,1,1,12,0,1,0,7
2793034,30,1,3,12,0,1,0,7
2793276,30,1,2,12,0,1,0,7
2800000,30,0,2,12,0,1,0,7
2810000,30,1,2,12,0,1,0,7
2820000,30,0,2,12,0,1,0,7
2830000,30,1,2,12,0,1,0,7
2840000,30,0,2,12,0,1,0,7
2850000,30,1,2,12,0,1,0,7
2860000,30,0,2,12,0,1,0,7
2870000,30,1,2,12,0,1,0,7
2880000,30,0,2,12,0,1,0,7
2890000,30,1,2,12,0,1,0,7
2893034,30,1,3,12,0,1,0,7
2893276,30,1,1,12,0,1,0,7
2900000,30,0,1,12,0,1,0,7
2910000,30,1,1,12,0,1,0,7
2920000,30,0,1,12,0,1,0,7
2930000,30,1,1,12,0,1,0,7
2940000,30,0,1,12,0,1,0,7
2950000,30,1,1,12,0,1,0,7
2960000,30,0,1,12,0,1,0,7
2970000,30,1,1,12,0,1,0,7
2980000,30,0,1,12,0,1,0,7
2990000,30,1,1,12,0,1,0,7
2993276,30,1,0,12,0,1,0,7
3000000,30,0,0,12,0,1,0,7
3010000,30,1,0,12,0,1,0,7
3020000,30,0,0,12,0,1,0,7
3030000,30,1,0,12,0,1,0,7
3040000,30,0,0,12,0,1,0,7
3050000,30,1,0,12,0,1,0,7
3060000,30,0,0,12,0,1,0,7
3070000,30,1,0,12,0,1,0,7
3080000,30,0,0,12,0,1,0,7
3090000,30,1,0,12,0,1,0,7
3100000,30,0,0,12,0,1,0,7
3110000,30,1,0,12,0,1,0,7
3120000,30,0,0,12,0,1,0,7
3130000,30,1,0,12,0,1,0,7
3140000,30,0,0,12,0,1,0,7
3150000,30,1,0,12,0,1,0,7
3160000,30,0,0,12,0,1,0,7
3170000,30,1,0,12,0,1,0,7
3173034,30,1,1,12,0,1,0,7
3180000,30,0,1,12,0,1,0,7
3190000,30,1,1,12,0,1,0,7
3200000,30,0,1,12,0,1,0,7
3210000,30,1,1,12,0,1,0,7
3220000,30,0,1,12,0,1,0,7
3230000,30,1,1,12,0,1,0,7
3240000,30,0,1,12,0,1,0,7
3250000,30,1,1,12,0,1,0,7
3260000,30,0,1,12,0,1,0,7
3270000,30,1,1,12,0,1,0,7
3273034,30,1,3,12,0,1,0,7
3273276,30,1,2,12,0,1,0,7
3280000,30,0,2,12,0,1,0,7
3290000,30,1,2,12,0,1,0,7
3300000,30,0,2,12,0,1,0,7
3310000,30,1,2,12,0,1,0,7
3320000,30,0,2,12,0,1,0,7
3330000,30,1,2,12,0,1,0,7
3340000,30,0,2,12,0,1,0,7
3350000,30,1,2,12,0,1,0,7
3360000,30,0,2,12,0,1,0,7
3361000,30,0,2,12,0,1,0,7
